BiGG,MNXM,MolWt,NumHeteroatoms,NumHAcceptors,NumValenceElectrons,MolMR,MolLogP,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,charge,NumHDonors
akg,MNXM20,144.08199999999997,5,5,56,24.254999999999995,-3.1644999999999994,0.1781445215498479,-0.5501573884046658,0.5501573884046658,0.1781445215498479,-2.0,0
altrn,MNXM2011,195.147,7,7,78,36.11999999999999,-4.827799999999997,0.1217521518020305,-0.5472091694087304,0.5472091694087304,0.1217521518020305,-1.0,5
pg141,MNXM2029,661.8340000000007,11,10,264,175.41009999999952,7.250400000000011,0.3057658059606677,-0.7561187259251791,0.7561187259251791,0.3057658059606677,-1.0,2
dopa,MNXM205,154.189,3,2,60,41.230700000000006,-0.1177999999999998,0.1571660998462055,-0.5042598929722597,0.5042598929722597,0.1571660998462055,1.0,3
2pglyc,MNXM2074,153.00599999999997,7,6,54,18.5655,-3.418399999999999,0.0913022373668458,-0.789862911571474,0.789862911571474,0.0913022373668458,-3.0,0
cys__D,MNXM2112,121.161,4,3,42,29.4642,-0.6718999999999997,0.3208222110058735,-0.4800638842024688,0.4800638842024688,0.3208222110058735,0.0,3
2amsa,MNXM2124,103.07699999999996,4,3,40,21.6752,-1.4028,0.3274296585669243,-0.4797581616234489,0.4797581616234489,0.3274296585669243,0.0,2
athr__L,MNXM2125,119.12,4,3,48,27.291999999999994,-1.2208999999999997,0.3226636677394967,-0.4800132023099517,0.4800132023099517,0.3226636677394967,0.0,3
pe181,MNXM2150,744.0480000000008,10,8,300,210.52669999999912,11.60869999999999,0.4718592390249758,-0.4616281734359622,0.4718592390249758,0.4616281734359622,0.0,2
ncam,MNXM216,122.127,3,2,46,33.6945,0.96497,0.2117960891233415,-0.4931978397732065,0.4931978397732065,0.2117960891233415,0.0,2
didp,MNXM2174,409.1640000000001,16,13,144,73.7716,-2.489399999999997,0.4756533545589521,-0.8569847253368239,0.8569847253368239,0.4756533545589521,-3.0,2
2dmmq8,MNXM2178,703.1080000000001,2,2,282,228.1709999999992,15.43379999999996,0.189705725914547,-0.2892509780064091,0.2892509780064091,0.189705725914547,0.0,0
etha,MNXM218,62.092,2,1,26,14.8409,-1.7793999999999994,0.0974366947872946,-0.3905191498731745,0.3905191498731745,0.0974366947872946,1.0,2
3cmp,MNXM2182,321.182,12,10,118,59.22860000000003,-3.4673299999999974,0.2652055278549143,-0.8456009302299697,0.8456009302299697,0.2652055278549143,-2.0,4
3gmp,MNXM2183,361.2070000000001,14,11,132,68.88029999999999,-3.5910299999999977,0.2652055278963994,-0.8569328930032929,0.8569328930032929,0.2652055278963994,-2.0,5
3ophb,MNXM2195,682.0660000000001,3,2,276,216.91929999999925,14.052599999999972,0.3351880144858238,-0.8722545822259559,0.8722545822259559,0.3351880144858238,-1.0,1
aacald,MNXM2212,60.076,2,1,24,13.8191,-1.5728,0.173449937368385,-0.351618215690743,0.351618215690743,0.173449937368385,1.0,1
glyclt,MNXM222,75.043,3,3,30,12.0928,-2.2713999999999994,0.0825833837709359,-0.547634017641788,0.547634017641788,0.0825833837709359,-1.0,1
mql8,MNXM223,719.151,2,2,290,236.0865999999992,16.153619999999957,0.1269433498960263,-0.507015588013183,0.507015588013183,0.1269433498960263,0.0,2
metsox_R__L,MNXM2245,165.214,5,3,60,39.1616,-0.8330999999999991,0.3200008341166013,-0.4800860603028193,0.4800860603028193,0.3200008341166013,0.0,2
mn2,MNXM2255,54.938,1,0,5,0.0,-0.0025,2.0,2.0,2.0,2.0,2.0,0
psd5p,MNXM2276,322.16600000000005,12,9,118,58.54770000000003,-3.105199999999998,0.4691706755296921,-0.8582911198858537,0.8582911198858537,0.4691706755296921,-2.0,4
sel,MNXM2282,142.956,5,4,32,7.127,-2.9963999999999995,,,,,-2.0,0
tdecoa,MNXM2290,971.8540000000008,28,23,358,222.22909999999945,1.1630000000000045,0.4807077012465598,-0.8619479510336412,0.8619479510336412,0.4807077012465598,-4.0,5
pyr,MNXM23,87.054,3,3,34,15.688,-1.6747,0.174698006678422,-0.5417169144416931,0.5417169144416931,0.174698006678422,-1.0,0
uracp,MNXM2304,146.10199999999998,6,4,56,31.352,-0.4013300000000002,0.3666123024288193,-0.4807794481243548,0.4807794481243548,0.3666123024288193,0.0,4
14dhncoa,MNXM2306,949.675000000001,30,23,340,207.84619999999973,-1.4358999999999953,0.4807077013815812,-0.8720176377303933,0.8720176377303933,0.4807077013815812,-4.0,7
q8,MNXM232,727.1270000000001,4,4,294,228.7429999999992,14.40089999999997,0.2278180128900561,-0.4894991409982064,0.4894991409982064,0.2278180128900561,0.0,0
dump,MNXM234,306.167,11,9,112,58.25410000000002,-2.5573999999999986,0.348543552330786,-0.8584386267693661,0.8584386267693661,0.348543552330786,-2.0,2
orot,MNXM235,155.089,6,5,58,30.102099999999997,-1.0460000000000005,0.354230185315989,-0.8584212291385099,0.8584212291385099,0.354230185315989,-1.0,2
ocdca,MNXM236,283.47599999999994,2,2,120,84.55300000000007,4.997800000000004,0.0413836168602579,-0.5501718609055201,0.5501718609055201,0.0413836168602579,-1.0,0
ap5a,MNXM2412,911.3300000000008,37,32,316,165.59449999999984,-5.4894,0.2803816073560929,-0.7558705633874921,0.7558705633874921,0.2803816073560929,-5.0,6
